Longitude,Latitude,EVI,LST,precipitation,Zona_Cluster,cluster
97.38703378,5.186998645,0.408084,25.23,6.5872536,5,1
97.38912589,5.186998645,0.405572,25.23,6.5872536,5,1
97.39121801,5.186998645,0.414968,25.07,6.5872536,5,1
97.39331013,5.186998645,0.422114,25.07,6.5872536,5,1
97.39540225,5.186998645,0.426586,25.07,6.5872536,5,1
97.39749436,5.186998645,0.429374,25.07,6.5872536,5,1
97.30721214,5.184915095,-0.06679,24.65,6.5872536,4,0
97.30930425,5.184915095,-0.07186,24.65,6.5872536,4,0
97.31139636,5.184915095,-0.0617,24.65,6.5872536,4,0
97.31348847,5.184915095,-0.04370625,24.65,6.5872536,4,0
97.31558059,5.184915095,-0.017493548,24.67,6.5872536,4,0
97.3176727,5.184915095,0.034406452,24.67,6.5872536,4,0
97.31976481,5.184915095,0.067565217,24.67,6.5872536,4,0
97.32185692,5.184915095,0.0717,24.67,6.5872536,4,0
97.34905436,5.184915095,0.273542222,25.25,6.5872536,4,1
97.35114647,5.184915095,0.327975556,25.25,6.5872536,5,1
97.35323858,5.184915095,0.330916,25.25,6.5872536,5,1
97.35533069,5.184915095,0.344414,25.25,6.5872536,5,1
97.3574228,5.184915095,0.368044,25.27,6.5872536,5,1
97.35951491,5.184915095,0.377622,25.27,6.5872536,5,1
97.36160702,5.184915095,0.367208,25.27,6.5872536,5,1
97.36369913,5.184915095,0.34123,25.27,6.5872536,5,1
97.36579125,5.184915095,0.335132,25.27,6.5872536,5,1
97.36788336,5.184915095,0.370536,25.27,6.5872536,5,1
97.36997547,5.184915095,0.38173,25.27,6.5872536,5,1
97.37206758,5.184915095,0.386808,25.27,6.5872536,5,1
97.37415969,5.184915095,0.383758,25.29,6.5872536,5,1
97.3762518,5.184915095,0.379814,25.29,6.5872536,5,1
97.37834391,5.184915095,0.408984,25.29,6.5872536,5,1
97.38043602,5.184915095,0.40402,25.29,6.5872536,5,1
97.38252813,5.184915095,0.37833,25.15,6.5872536,5,1
97.38462024,5.184915095,0.384682,25.15,6.5872536,5,1
97.38671235,5.184915095,0.388422,25.15,6.5872536,5,1
97.38880446,5.184915095,0.396754,25.15,6.5872536,5,1
97.39089657,5.184915095,0.407634,25.07,6.5872536,5,1
97.39298869,5.184915095,0.410464,25.07,6.5872536,5,1
97.3950808,5.184915095,0.3779,25.07,6.5872536,5,1
97.39717291,5.184915095,0.378246,25.07,6.5872536,5,1
97.39926502,5.184915095,0.371908,25.07,6.5872536,5,1
97.40135713,5.184915095,0.358092,25.07,7.083216,5,1
97.40344924,5.184915095,0.346056,25.07,7.083216,5,1
97.40554135,5.184915095,0.343392,25.07,7.083216,5,1
97.40763346,5.184915095,0.33797,25.07,7.083216,5,1
97.40972557,5.184915095,0.319776,25.07,7.083216,5,1
97.41181768,5.184915095,0.31541,25.07,7.083216,5,1
97.41390979,5.184915095,0.297596,25.07,7.083216,5,1
97.30689111,5.182831544,-0.051802857,24.65,6.5872536,4,0
97.30898322,5.182831544,-0.020168571,24.65,6.5872536,4,0
97.31107532,5.182831544,0.020333333,24.65,6.5872536,4,0
97.31316742,5.182831544,0.045135556,24.65,6.5872536,4,0
97.31525953,5.182831544,0.051923913,24.67,6.5872536,4,0
97.31735163,5.182831544,0.052391304,24.67,6.5872536,4,0
97.31944374,5.182831544,0.063811364,24.67,6.5872536,4,0
97.32153584,5.182831544,0.062893182,24.67,6.5872536,4,0
97.34873319,5.182831544,0.306497222,25.25,6.5872536,5,1
97.3508253,5.182831544,0.341775,25.25,6.5872536,5,1
